iter	Passed	Remaining
595	3794	2572
596	3797	2563
597	3800	2555
598	3804	2546
599	3812	2541
600	3815	2533
601	3818	2524
602	3830	2521
603	3833	2513
604	3843	2509
605	3846	2501
606	3850	2492
607	3858	2487
608	3861	2479
609	3864	2470
610	3890	2476
611	3893	2468
612	3896	2459
613	3908	2456
614	3911	2448
615	3914	2440
616	3920	2433
617	3924	2425
618	3927	2417
619	3930	2409
620	3938	2403
621	3943	2396
622	3946	2388
623	3954	2383
624	3957	2374
625	3960	2366
626	3968	2361
627	3972	2352
628	3975	2344
629	3977	2336
630	3989	2332
631	4008	2334
632	4027	2334
633	4039	2332
634	4047	2326
635	4051	2318
636	4055	2310
637	4062	2305
638	4066	2297
639	4069	2289
640	4073	2281
641	4081	2275
642	4084	2267
643	4095	2264
644	4099	2256
645	4102	2248
646	4113	2244
647	4117	2236
648	4120	2228
649	4127	2222
650	4131	2214
651	4135	2207
652	4143	2201
653	4146	2193
654	4150	2185
655	4157	2179
656	4160	2172
657	4164	2164
658	4172	2158
659	4175	2151
660	4179	2143
661	4183	2135
662	4193	2131
663	4196	2123
664	4199	2115
665	4208	2110
666	4211	2102
667	4213	2094
668	4221	2088
669	4224	2080
670	4227	2072
671	4235	2067
672	4239	2059
673	4242	2051
674	4245	2044
675	4254	2038
676	4257	2031
677	4260	2023
678	4266	2017
679	4270	2009
680	4286	2007
681	4289	2000
682	4293	1992
683	4318	1995
684	4322	1987
685	4325	1979
686	4334	1974
687	4337	1967
688	4341	1959
689	4372	1964
690	4381	1959
691	4436	1974
692	4450	1971
693	4453	1963
694	4462	1958
695	4466	1951
696	4471	1943
697	4483	1939
698	4486	1931
699	4490	1924
700	4497	1918
701	4500	1910
702	4503	1902
703	4506	1894
704	4512	1888
705	4515	1880
706	4524	1875
707	4528	1867
708	4536	1862
709	4539	1854
710	4542	1846
711	4550	1840
712	4553	1833
713	4557	1825
714	4560	1817
715	4573	1814
716	4576	1806
717	4579	1798
718	4582	1790
719	4588	1784
720	4591	1776
721	4594	1769
722	4597	1761
723	4603	1754
724	4607	1747
725	4610	1740
726	4613	1732
727	4635	1731
728	4639	1724
729	4642	1717
730	4645	1709
731	4648	1701
732	4654	1695
733	4657	1687
734	4660	1680
735	4663	1672
736	4669	1666
737	4691	1665
738	4694	1657
739	4699	1651
740	4702	1643
741	4704	1635
742	4706	1628
743	4708	1620
744	4711	1612
745	4717	1606
746	4720	1598
747	4723	1591
748	4725	1583
749	4730	1576
750	4735	1569
751	4739	1563
752	4750	1558
753	4753	1550
754	4756	1543
755	4763	1537
756	4766	1530
757	4769	1522
758	4782	1518
759	4785	1511
760	4790	1504
761	4797	1498
762	4800	1491
763	4804	1484
764	4813	1478
765	4816	1471
766	4829	1467
767	4832	1459
768	4835	1452
769	4837	1444
770	4844	1439
771	4848	1431
772	4853	1425
773	4861	1419
774	4864	1412
775	4867	1405
776	4872	1398
777	4875	1391
778	4879	1384
779	4886	1378
780	4890	1371
781	4893	1364
782	4898	1357
783	4905	1351
784	4912	1345
785	4919	1339
786	4923	1332
787	4927	1325
788	4930	1318
789	4938	1312
790	4941	1305
791	4944	1298
792	4953	1293
793	4956	1285
794	4959	1278
795	4967	1273
796	4971	1266
797	4974	1259
798	4976	1251
799	4982	1245
800	4985	1238
801	4988	1231
802	4996	1225
803	5000	1218
804	5003	1211
805	5006	1204
806	5009	1197
807	5015	1191
808	5018	1184
809	5021	1177
810	5024	1170
811	5030	1164
812	5032	1157
813	5035	1150
814	5037	1143
815	5039	1136
816	5046	1130
817	5049	1123
818	5053	1116
819	5056	1109
820	5060	1103
821	5063	1096
822	5066	1089
823	5068	1082
824	5074	1076
825	5078	1069
826	5081	1062
827	5090	1057
828	5093	1050
829	5095	1043
830	5098	1036
831	5100	1029
